城市,评论,昵称,性别,评分,观影时间
衡阳,还可以，一般般啦,期待3580,1,2.5,2018-10-02 02:59
深圳,"致敬发哥看了个夜场，感觉被充斥爱恨情仇的伪钞犯罪片套路了一个多小时，无剧透感慨几点：
1.年轻人圆梦需要奋斗；
2.企业长久发展需要铁打的“行规”；
3.钱可以复制，但每个人都是唯一的；
……
无论如何，开始的方向选择错了，再多的努力到头来都是白费。
槽点不少，但某瓣依然8.0，还是有很多亮点，推荐。",Elite丨為食貓,1,5,2018-10-02 02:57
南宁,剧情一般，全靠演技,tCm339617154,0,4,2018-10-02 02:57
上海,精彩，演技炸裂。,CSn239498116,1,5,2018-10-02 02:55
桂林,还不错，以为又会是烂片，结果剧情很反转挺吸引人,JasmineMou,2,4.5,2018-10-02 02:52
深圳,挺好看的。推荐去看。,勇哥wwe,2,5,2018-10-02 02:51
深圳,这部电影整体来说还是不错的，要是看到一半不看的人根本就看不懂，我也是看到最后才明白整个剧情。,LEONLONGXING,0,5,2018-10-02 02:50
河源,前面还行后面烂尾,七月流火628,1,4,2018-10-02 02:44
惠州,还不错的，比我们大陆的电影好多了,不悲不喜…有你在,0,5,2018-10-02 02:43
深圳,挺精彩的，就是看着费脑,Jessica3197,2,4,2018-10-02 02:42
桂平,剧情反转，结局意料不到，编剧有意思,celialueng,2,4.5,2018-10-02 02:41
海口,很好看，用了倒序的形式来写，看这个电影不可以先入为主的。,苦渡king,0,5,2018-10-02 02:41
南京,一般般的港片~真心话,majaykinetic,1,3,2018-10-02 02:40
北京,"《无双》

永远的发哥
自带光环
霸气雅痞
帅出新高度

发哥说：

一百万个人才有一个主角。 
想成为主角，
就要有更好的舞台。

你知不知道能做大事的男人，都是为了女人，我爸爸跟我说过，放弃爱情的男人，什么事都做不成。

想当主角操盘最后的事，你凭什么？",fishweir,0,4.5,2018-10-02 02:40
天津,不到最后猜不出结局的电影，看到发哥 英雄本色 的即视感！好评,weihuatuangou,1,5,2018-10-02 02:39
广州,"郭富城的无双：无所真假，双我演绎
周润发的无双：无谓真假，被造双我",SDh265657374,0,5,2018-10-02 02:37
北京,其实一上来就猜到画家是谁了 以及恶意攻击竞争对手一点意思都没有,曹纸贱,1,0.5,2018-10-02 02:36
海口,精彩！值得推荐！,laizibaimuda,0,5,2018-10-02 02:36
海口,还行吧，剧情有点出虐狗。。。😥️,彼岸花乀767,1,4,2018-10-02 02:31
深圳,全程都在看发哥，发哥还是那个帅帅的发哥，老戏骨果然是老戏骨，开片没什么看头，但是越看越精彩，剧情也有很大反转，特别好,BfU350449935,0,5,2018-10-02 02:30
广州,不错蛮好看……,潮州生,0,5,2018-10-02 02:30
安庆,"完全是为了看发哥的 发哥和郭富城演技都爆表 但是剧情真的不敢恭维 
1:全片都在讲述制造假钞 和真的美钞完全相同 但是用了两次 买钟 和 郭富城开始入狱被警察发现是假钞 。用了两次被发现两次 开玩笑呢 还有那么多大佬抢着买
2:郭富城入狱 是因为发现画家没有死 被画家追杀 然后自己去从酒店出去 花假币被抓 但是画家就是他自己
3: 毁容女造反 抓了郭富城暗恋的女孩子 要郭富城杀她 然后瞬间郭富城的手下全部造反 拿枪指着他 请问 这个毁容女是怎么策反郭富城手下的 
真的是 我情愿和开头一样 警察是发哥伪装的 然后找到郭富城同归于尽也不致于现在看的一脸懵逼
",齐天大叔597,1,0.5,2018-10-02 02:29
宁波,精彩片段不错  准备去看全部,pOI956479659,1,5,2018-10-02 02:29
深圳,从一开始，你就被骗了。,dCt749117096,1,4.5,2018-10-02 02:29
深圳,推荐，超级好看,一种态度913,1,5,2018-10-02 02:28
绵阳,影片不错不愧是实力派,tjk503743656,1,5,2018-10-02 02:26
嘉兴,必须满分，不负所望！精彩绝伦,尾号0009的朱先生,1,5,2018-10-02 02:25
南京,令人反思的好电影，普通人的梦，散场之后又买一场，看一遍看不够，郭富城演技炉火纯青，太牛了，演员的榜样,eSN901308346,0,5,2018-10-02 02:25
深圳,永远的小马哥 郭富城也没得挑 都太好了,chenpccs,1,5,2018-10-02 02:24
顺德,很无聊！看过这么多电影 没看过这么无聊的,McO475424683,0,0.5,2018-10-02 02:23
常州,喜欢周润发，还是那么帅！,Cathy_1980,2,5,2018-10-02 02:22
宝鸡,好看好看 推荐观看,我就是梁峰,1,5,2018-10-02 02:21
南宁,呃……个人感觉一般！,fifi218,2,3,2018-10-02 02:20
西安,烧脑  极力推荐,apJ924779479,1,5,2018-10-02 02:20
广州,戏中有戏、戏中戏、超高演艺水准,cyX163001327,0,5,2018-10-02 02:20
深圳,看不明 哈哈,JinGhuaa,0,4,2018-10-02 02:20
中山,好看，近期比较喜欢的一部电影,YAh628456789,0,5,2018-10-02 02:18
苏州,为什么说香港演员中，发哥拿枪最帅气，这么多年好像也没被超越，看完就知道了。,jsjyjyjlb,1,5,2018-10-02 02:15
柳州,这是我见过最牛逼的暗恋电影,天择319,1,5,2018-10-02 02:14
杭州,看不懂内容 真的,IOW580800075,0,4.5,2018-10-02 02:14
广州,4重奏，郭富城的演技更好了，发哥棒棒哒！张静初应该打进国际市场,海贼1罗宾,0,5,2018-10-02 02:13
广州,好片好片好片,nUI269300926,1,5,2018-10-02 02:12
开平,好看爆炸好看,离丶殇137,1,4.5,2018-10-02 02:12
苍南,非常好看 结局出人意料 非常好的电影,Gwn723444421,2,5,2018-10-02 02:12
深圳,电影很精彩，情节很新颖，最重要的是发哥演技超赞，值得一看，推荐！！！,bWd499561830,0,5,2018-10-02 02:11
洛阳,"刚才在看电影时的想法就是：“这是一部有野心的电影。”😂😂
就我自己的观影体验来说，电影中段山地军营的枪战戏份，恰恰是扯了电影的后腿，这样的一部电影应该有自信不需要用“发哥+枪战”兜售情怀。如果没有这一段山地军营的枪战戏或者适当简化，我会给这部电影多打0.5分。😂
周润发在片中的表现完全碾压郭富城，虽然有可能导演是想利用郭（这么多年了依旧）不成熟的演技来帮助自己完成对整部电影的设计，但是现在还是不由自主地想象 如果郭的角色是由梁家辉来演绎，会不会更精彩🤔🤔",海上钢琴失,0,4,2018-10-02 02:11
南昌,意想不到的结局,Forever青鸟,0,4.5,2018-10-02 02:11
无锡,影帝就是影帝，带入感非常棒！影片精彩的无话可说，个人感觉！仅供参考！,李，公，子,0,5,2018-10-02 02:11
广州,只有结局好看,drH867510546,2,2.5,2018-10-02 02:10
成都,比较一下最近看的三部香港电影，无双，黄金兄弟和反贪风暴。最好看的当然是无双，感觉几位香港影帝级的演员同一档期上映新作。印象最深的就是无双里的郭富城和周润发，瞬间路转粉啊。感觉反贪风暴就是TVB电视剧式的电影，与其说是电影，倒更像是一集浓缩版连续剧。黄金兄弟主题不太感兴趣，不多做评价。而无双是真的讲了一个耐人寻味的故事，有剧情，有演技，有特效，也有专业方面很有趣的知识，可以看出真的有用心制作。推荐大家去看看。,calvin_lzw,0,5,2018-10-02 02:10
涟水,"我总在想凭什么自己不是主角
所以后来我在想凭什么自己输给自己",盟拜,0,5,2018-10-02 02:09
东莞,发哥强势回归！,OQw852104053,0,5,2018-10-02 02:09
上海,还可以的么，差不多,Jk520林,0,3.5,2018-10-02 02:09
盐城,很棒，剧情相当精彩，两大影帝演技爆炸，剧情反转相当到位，赞,奇梦缘月,1,5,2018-10-02 02:09
长沙,乱七八糟！垃圾片！,wenxiaoping168,0,2,2018-10-02 02:08
深圳,买了，4张票，，都说不好看，，确实不好看，辣鸡电影。。无趣。,HkP75979573,0,0.5,2018-10-02 02:08
海口,ok....,Sin128044453,1,5,2018-10-02 02:08
重庆,原本满怀期待的去看这部电影，但是剧情10分钟后就知道他的大概剧情了，主线剧情基本上是照抄非常嫌疑犯的只是感情路线更加复杂，而且电影全程的节奏非常平淡，为了调整节奏增加了很多不必要的剧情，对于这种犯罪悬疑片，更多的剧情应该是在人物刻画上，而不是在假钞制作过程，中间用各种怀旧梗去影响观众，对于这种商业烂片打着各种怀旧情怀，我真的是觉得够了，唯一一处好的就是演员全程演技在线。,uxC229430147,0,2,2018-10-02 02:07
上海,牛逼牛逼！真的牛逼！,旋风648,1,5,2018-10-02 02:06
海口,厉害了，我的发哥，你终于不再拍澳门风云那种烂片了。发哥，富城，静初的演技都在线，港片风格浓郁，尤其是最后，剧情的一再反转，真是让人拍案叫绝！！！,pPP222033583,0,5,2018-10-02 02:05
北京,还不错的片子……,uul538187905,1,3.5,2018-10-02 02:05
重庆,郭富城这些年真的是演技担当，从寒战到无双，每一部都大赞。这一部节奏很好，前二十分钟略拖沓，后面没刻意秀智商，衔接扣得很好，来了三次转折，但都让你能明白，故事题材不只做到表面吸引，有一定实质，很赞！并致敬了发哥演的小马哥，还有张静初真的颜值很美，这部电影真的非常好👍,太阳雨下的微笑,1,5,2018-10-02 02:05
佛山,好久没看过这种类型的港产片了,Zachary8346,1,5,2018-10-02 02:05
深圳,还行还行。。。,VuO590592865,2,3.5,2018-10-02 02:03
咸宁,好看，我朋友很喜欢郭富城才去看的。,babybabymeow,2,5,2018-10-02 02:03
成都,非常棒，超过预期,美团暴力熊,0,4.5,2018-10-02 02:02
南昌,虽然近两年大部分港片有些不理想 但作为一个资深港片爱好者 无双这部电影还算优秀 高智商犯罪中剧情算是比较新颖 描绘伪钞拍的特别细致 最后的峰回路转 看的也过瘾 更有两大影帝坐镇 演技没得说 除了剧情略微有些拖之外 算是港风比较正的港片了 顺便说句题外话 我是冒着食物中毒的风险来捧二老场的 也祝给我吃毒食的女人 天天来大姨妈吧🙂,Axc848224343,0,5,2018-10-02 02:01
东莞,很好看，不知不觉就看完了，还看不够,fbc761852046,2,5,2018-10-02 02:01
石狮,还不错，发哥有点小搞笑,gVP734862786,0,4.5,2018-10-02 02:01
深圳,后面有点烧脑，揭开面纱推翻之前一切有点无奈,LoeCoffee,1,5,2018-10-02 02:00
延边,周润发郭富城真是越老越帅,kkkokkk,0,5,2018-10-02 01:59
荆门,发哥，依然要把**进行到底么？,杨邦杰,1,3,2018-10-02 01:59
南宁,有点龙身蛇尾。倒叙手法运用一般。,MarkZhao405,1,4,2018-10-02 01:57
成都,还不错，发哥的枪战片又回来了,CrG675603174,0,5,2018-10-02 01:55
汕头,演技爆表。无敌,USj115450028,0,5,2018-10-02 01:55
金华,故事可以，发哥一如既往的可爱，影片对于一个反派团伙的塑造都让人快要喜欢上了他们。剧情有反转，反转前的男主让人想揍他，反转后的男主，让人看着其实也是个可怜人，造假这条路，不一定是他想要的，但却是他仅有的出路。而真正的阮文对于男主来说，可能就是一个他向往的净土和救赎。而看完影片，我感触最深的是，宁可得罪小人，也别得罪女人,IK君,2,4,2018-10-02 01:55
宜春,比想象中好看的多 本来是冲这群主演来的 结果剧情也没让人失望 超级多反转 很过瘾,花丢丢551,2,5,2018-10-02 01:55
深圳,好片！看古惑仔没看到情怀，无双却看到了英雄本色的情怀，发哥还是那么拉风，气场太强，完全把郭富城给盖了，剧情还让他们身份重叠，导致没有对比就没有伤害！少一分是剧情稍有凌乱,真爱是苦味895,0,4.5,2018-10-02 01:55
佛山,结局正能量，但实际应该更多的是画家逃走了……,王者徐来,1,5,2018-10-02 01:54
苏州,发哥太久没演过这么良心的电影了，太过瘾了，满分不嫌多！,tuwanlin,1,5,2018-10-02 01:53
太原,发哥的双枪永远经典,学斌785,1,3.5,2018-10-02 01:53
邯郸,我觉得非常好,H明日之星E,0,5,2018-10-02 01:53
昆明,發哥的演技從不讓人失望，再次演出大哥的風範，故事引人入勝，場面再次傳承了港片的精彩，會再看一遍！,堃9251,1,5,2018-10-02 01:52
宁波,还可以 还想再看一次。 ,fLl638467308,0,3.5,2018-10-02 01:52
东莞,有点老香港片的感觉！一般吧,biC278342316,0,3.5,2018-10-02 01:52
合肥,两位影帝飙戏,OuN470462978,1,4.5,2018-10-02 01:51
沧州,看这个剧必须得脑子跟的上！,爱笑.813,2,5,2018-10-02 01:51
许昌,一般般，感觉挺平淡,你是我的眼jia,0,3,2018-10-02 01:51
揭阳,挺好看的，发哥还是那么帅！不老男神啊,小六子i,0,5,2018-10-02 01:51
武汉,可以的，一点毛病都没有！个人感觉是一部看了后值得回味的电影，名字取得也很有含义,时间最美的情郎,1,5,2018-10-02 01:49
清远,还可以吧，结局有点勉强,ZgI713298420,0,3.5,2018-10-02 01:48
南京,发哥双枪扫射太棒了。完美,find815,0,5,2018-10-02 01:48
肇庆,忽然一波逆转爽得一批，发哥演技真的无得弹啊！！！,霍先生NC,1,5,2018-10-02 01:48
长沙,奈斯，好看得不得了,xingshiyu312,1,5,2018-10-02 01:48
大连,没怎么看懂，乱糟糟,STJ129714772,0,5,2018-10-02 01:48
惠州,还行吧，，，,FA培坚,1,5,2018-10-02 01:47
诸暨,想说发哥你真的很帅！！！！！！支持国产。,叶丫_丫,0,4.5,2018-10-02 01:47
长汀,反转有点意思～,Sup213022029,0,4.5,2018-10-02 01:47
集美,体验极好，编剧比马破苍穹的编剧高多了,伊州千子村正,1,4.5,2018-10-02 01:47
南宁,"#2018 NO.74# 9月最后一天的第二部《无双》，超出期待的一部片子，不要被简介给误导了。很有想法的导演，没有停留在一般套路，而是深挖下去展现不一般的人物情绪、细节刻画。背乐用得很好，色调偏深暗，两位男主发哥和城城，女主张静初演技发挥出色，其他配角也各司其职。编剧功力不错，剧情反转再反转够烧脑，到最末才了解片名“无双”的真正含义。
P.S.:发哥魅力无限，一转身一抖大长腿收获无数膝盖……",nat2013,0,4,2018-10-02 01:46
东莞,都演的蛮好的,yLl756535034,0,5,2018-10-02 01:46
宁乡,好看好看好看,Fairy7120,2,5,2018-10-02 01:46
深圳,真心不错。。,石头Stttttt,0,5,2018-10-02 01:45
长沙,发哥太帅了，太帅了，太酷了，魅力男神,放放娃,2,5,2018-10-02 01:45
雅安,优惠购卷，很满意,心语随心～～,0,5,2018-10-02 01:45
电白,好看。。。。。,甜心67529,2,5,2018-10-02 01:45
珠海,发哥开枪的样子还是那么帅，迷人，喜欢。,cpc6156145234598,0,4.5,2018-10-02 01:44
深圳,不错非常棒很不错,青春勇往直前542,1,5,2018-10-02 01:43
郑州,一般，除了演员是名演员，要不真不想看，演的啥都看不懂,zxh5210707,0,5,2018-10-02 01:43
茂名,很好看，最后峰回路转，秀清也当了一回主角，就是想不明白，画家为什么要回去，又为什么被抓？,CNH554636943,0,4,2018-10-02 01:42
厦门,"看完结局的第一反应就是:
有点类似于<看不见的客人>

郭富城和发哥的演技在线，整体观影感受还是不错的。就是对于秀清这个人物角色介绍过于单调，看起来有点莫名其妙，如果能在这个人物身上再引出一条线那这部作品就完美了。

对于钞票等画面拍摄手法还是很不错的，打斗场面就比较一般了，比较夸张，一直都是主角一打几十的感觉。

创意总体来说还是不错的，就是没有<看不见的客人>这样层层递进，接近真相的紧张感，结局过于仓猝，希望以后还有这种类型的电影，也希望国片能越做越经典。",kIK885946607,0,4.5,2018-10-02 01:42
北京,没想象中好，借用了《非常嫌疑人》的方式和反转，但结局比起《非常嫌疑人》就低级很多。,Better_Adam,1,3.5,2018-10-02 01:42
金华,开始看还好看的，看到后面就一头雾水了，结局太凄惨,hGm315855132,0,4.5,2018-10-02 01:41
河源,很有港味，剧情也好，就是没搞懂为什么李问自己会用假币被抓,qtA228991811,0,4.5,2018-10-02 01:41
广州,情节节凑、紧张，是那种不到最后都不知道结局的狂烧脑电影！非常适合假期观看！很多人都喜欢假期看一些不用怎么动脑的所谓《大片》但是我反倒觉得看看动脑的电影是最好的一个选择!个人强烈推荐这部电影！,Black4945,1,5,2018-10-02 01:41
无锡,看的有点晕，剧情还可以,duz783175133,0,4,2018-10-02 01:41
郑州,假死，又换了一张脸，都被骗了。,Lqj384038899,1,5,2018-10-02 01:41
武汉,是个动脑筋的,笑当初424,1,5,2018-10-02 01:39
东莞,刚开始觉得挺无聊的，看到后面越来越精彩。,荷包蛋JIE,1,4.5,2018-10-02 01:39
北京,港片回来了～发哥回来了～,coolamy,2,5,2018-10-02 01:39
海口,电影不错 可以看,小雪花9302,2,5,2018-10-02 01:39
兰州,结尾太仓促，发哥+1分,IAv273489635,0,4.5,2018-10-02 01:38
中山,十分精彩的电影,宇柒568,1,5,2018-10-02 01:37
苏州,套路很深 大反转？现在流行扮猪吃老虎？,zhang9697,2,4.5,2018-10-02 01:37
荆州,还不错吧，主要是买的VIP厅，感受不错,iNe979393315,2,5,2018-10-02 01:37
清远,智商不低的我表示看懂了 哈哈,npv343233386,2,5,2018-10-02 01:37
珠海,乱很乱看不懂,云朵5783,1,2.5,2018-10-02 01:37
深圳,太燃了，超级大爽片，五星 一半给导演一半给周润发！吹爆发哥！,我是神啊7242,2,5,2018-10-02 01:37
深圳,好有深度的一部片，值得推荐,DWP408115613,1,5,2018-10-02 01:37
江门,是我这6年睇过最精彩的电影，满分，非常好！超过内地一切国产片！,省港澳美食专家,0,5,2018-10-02 01:37
深圳,好电影值得一看,PdH919247122,0,5,2018-10-02 01:36
肇庆,张静初好索。,fwm201239937,1,4.5,2018-10-02 01:36
宿迁,满分！！！！！,悟空95,0,5,2018-10-02 01:36
南宁,任何事情做到极致，假的也可以比真的好。,becoye,2,4.5,2018-10-02 01:36
深圳,又看到了发哥久违的枪战，只是这次演得是反派角色。但是演技还是那么精湛到位！,MTU361,1,4.5,2018-10-02 01:35
上海,可以，很好看，后面反转很大。,未完的承诺lsq,1,5,2018-10-02 01:35
南昌,看到一半的时候已经猜到了谁才是真正的画家，但是没想到最后的结局会是同归于尽。里面的爱情才是真的让人绝望，真真假假，不过都只是替代品,vhW120891847,2,4.5,2018-10-02 01:35
安顺,剧情扑朔迷离，很烧脑，很好看的一部电影,LiBiAO12131814,0,5,2018-10-02 01:34
深圳,烧脑神作 作 作 作 作 作,伟大的啵哥,1,4.5,2018-10-02 01:34
广州,不错 没什么要我吐槽的一部片子,莫名其妙9182,1,4.5,2018-10-02 01:34
镇雄县,郭富城回忆到后面的时候我就知道他的回忆片段并没有完全说真话，有一些是他编的。果不其然，这部电影整体看下来可以说融合了罗杰疑案那样的叙述者诡计和控方证人那样的多重反转。但他身边的女主演技不够，没有控方证人中女主那样的表现力。所以震撼程度大打折扣。anyway，看到国产电影里能有这种电影，作为一个推理小说迷来说很开心啦,SfX407882704,1,4.5,2018-10-02 01:34
深圳,真亦假时假亦真，假亦真时真亦假。钱有真假，人有真假！感情也有真假！真真假假，假假真真！看的头都晕了。不过到最后，假的成不真的，真的也假不了！,wjE608132660,0,5,2018-10-02 01:32
长沙,这部片子给了我一个大大惊喜。在这个烂港片横行的年代，居然出现了这样一部精品，实在是让人感到眼前一亮！我感觉这应该是无间道之后最好的一部港片了！几个主演的演技就不用说了，都是老戏骨了，关键在于情节的精彩，整体的逻辑性和流畅性几乎毫无瑕疵！特别是结尾的峰回路转是整部片子的点睛之笔！,yiyufly,0,4.5,2018-10-02 01:31
深圳,够力 好看,zIJ436175609,1,5,2018-10-02 01:31
成都,暂定8分！！,Destinedboy,0,0,2018-10-02 01:30
雷州,不错     很好看,小西米900,0,5,2018-10-02 01:30
西安,精彩。最后的结局反转现在想起来还会身上一冷,IWz158760605,1,5,2018-10-02 01:30
广州,夢回港片黃金年代！！！完美！！！,vRX827339598,0,5,2018-10-02 01:30
运城,无法言喻的艺术美 戏剧张力,阿明哥！！！！,1,5,2018-10-02 01:29
成都,片尾没怎么看懂，太烧脑了，,ACC591215630,1,4,2018-10-02 01:29
北京,算是国产里面比较会讲故事的,tkanade,0,5,2018-10-02 01:28
武汉,反转很惊喜，很意外,SXF262794652,0,5,2018-10-02 01:28
清远,就是看到最后居然觉得我看不懂了,桐航420485880,0,5,2018-10-02 01:28
杭州,真真假假，出乎意料……,词不达意5773,1,4.5,2018-10-02 01:28
北京,港片很久没看到好的了，发哥和成哥都属于越老越有味道的男人。不错的片子,fmg322828452,1,5,2018-10-02 01:28
鹤山,垃圾戏，又长又臭。故事情节乱吹一通，天马行空。,niG233322715,0,0.5,2018-10-02 01:27
深圳,第一次写评语。那是因为真的太好看了！剧情非常棒！,下次还来吃,2,5,2018-10-02 01:27
柳州,太精彩啦，好看啊,深蓝与月光432,1,5,2018-10-02 01:27
合浦县,很养眼，值得看,tTU260958270,2,4.5,2018-10-02 01:27
漳州,很好，剧情山重水复，郭富城和发哥演技没得话说，值得一看,RRO268950085,0,5,2018-10-02 01:26
北京,发哥永远那么帅气，演员演技都相当好，情节也很不错,TwT777,2,4,2018-10-02 01:26
广州,很好，腰围松紧收腰,wu503460551,0,5,2018-10-02 01:26
晋江市,看吧，确实不错,min755713266,0,5,2018-10-02 01:26
西安,，最后反转很精彩,咕咕咕咕我饿了,2,4.5,2018-10-02 01:25
东莞,好精彩啊，郭富城好帅啊，被天王的演技震惊了，一直蠢萌蠢萌的李问居然是画家，实在是太出人意料了，反正就是很赞,aBa691066337,0,5,2018-10-02 01:25
佛山,还好吧，就是看到后面有点看不懂，越看越糊涂,女人是无奈,2,3.5,2018-10-02 01:24
宁波,这才叫电影嘛，发哥，郭富城，演技好，剧情跌宕，优秀,葛宁杰,1,5,2018-10-02 01:23
济宁,完美，发哥，郭富城演技一流。,李建阳161,1,5,2018-10-02 01:22
昆明,"电影确实不错，冲着发哥歌郭富城去看的，演技很好，真真假假，虚虚实实。两条主线，假钞和爱情。一再反转，再大的阴谋都逃不过一个爱字。和前男友分手了，与mr.Fu一起去看的，之前错过了两次电影，第三次<无双>终于如愿以偿。无双是代表独一无二，每个人都是无与伦比的，即使像电影里面，因为莫名的素不相识的爱，整容成你爱的样子，作为一个替身的秀清一定是很痛苦的，只能成为别人的影子，却毫无顾忌的在男主最需要的时刻出现，在绝望中等待，也在绝望中同归于尽。感谢mr.Fu的包容与陪伴，慢慢的发现你并不是替身，期待你能变成主角。电影里面是发哥让李问成为主角，现实中希望你能自己让自己成为主角。感谢有你,Mr.Fu!",付官799,2,5,2018-10-02 01:22
绵阳,有点烧脑，我是美术生，看见画家俩字就看了这片子。。。。。居然造假币。。天哪 害怕,服气466,1,4,2018-10-02 01:22
中山,哎……不知道如何形容,vhv134481512,2,3,2018-10-02 01:21
上海,高智商片子，很烧脑，挺刺激，值得一看。,yzz187994426,1,5,2018-10-02 01:21
济南,不好不好不好,yiyi6727,2,0.5,2018-10-02 01:20
深圳,没看懂，深奥,夏夏4128,2,2.5,2018-10-02 01:20
蚌埠,很棒，结局反转，郭富城和发哥演技没得话说，值得一看,YKi627065331,0,5,2018-10-02 01:20
分宜,结྆局྆很྆意྆外྆,QMF835924496,0,5,2018-10-02 01:19
柳州,逻辑感很强 情节跌宕起伏 剧情扑朔迷离,flyaway13579,0,4.5,2018-10-02 01:19
广州,还不错，中规中矩，看到发哥枪战还是挺激情澎湃的，剧情反转也很不错,sBp533250208,0,4,2018-10-02 01:18
宜春,很不错，我喜欢这部电影,红树林628,0,4.5,2018-10-02 01:18
深圳,主演演技都值得肯定，情节也不错，推荐一看,iNO632811271,0,5,2018-10-02 01:17
南宁,情节精彩，好看！,gfa934078290,0,4,2018-10-02 01:17
衢州,发哥，舞王演技杠杠滴，剧本不错，烧脑,味林中人9527,1,5,2018-10-02 01:17
广州,周润发太帅了！ 😭😭😭永远的男神,zWi851068711,0,5,2018-10-02 01:17
广州,从没有看过这么恶心的电影，简直就是骗钱而不是造假钞,prp291935802,0,0.5,2018-10-02 01:17
武汉,电影老套无新意！,Pau316458032,0,3.5,2018-10-02 01:17
长沙,前面郭富成演的毫无存在感，后面一下子逆袭变成主角，整部电影还是有看点的，思想与行为交织。,vCx247013816,0,3,2018-10-02 01:17
东莞,刺激，惊险，不看到最后都不会清楚故事的结局到底会怎样、赞,xwX292154841,0,5,2018-10-02 01:16
天津,剧情整个从头到尾非常流畅 几个转折的点也卡的非常的到位 虽然个别几个有点突兀 前半段曾经有个发哥关车门的动作（既发哥第一次出场）瞬间让观众有一种发哥就是画家的错觉 以至于后面的剧情顺理成章的以发哥是画家的情节发展下去 所有的反转镜头中 最好的还是最后的那个他是我家邻居 出现的恰当好处 导演善于埋伏笔 从见两面就能画出秀清的样子 引出过目不忘的技能 结局就说明了他看了一眼司机就能构思一片大局 郭富城从开局监狱里表现的对画家的恐惧 等等等等 表现力爆棚 整部电影每次大反转都会有种倒吸凉气的感觉 这就是导演想表达的 而且确实表达出来的 美中不足的地方当然也有 个别几个转折点突兀什么的 所以给9分。,VSJ488779333,1,4.5,2018-10-02 01:16
宜宾,非常非常的推荐这部电影！前两年发哥的电影虽然谈不上失望、但确实有种说不出的感觉叫太普通了！这部电影打破了这几年发哥和郭先生表现的太一般了的感觉、找回了发哥当年的＂本色＂10分送给你发哥！,百年幻影,1,5,2018-10-02 01:16
大丰,真真假假，乱七八糟，感觉不到有多么好看,Luy158192768,1,1.5,2018-10-02 01:16
南京,直到最后才看懂的影片，人心叵测啊。。。,云0水0禅0心,2,4,2018-10-02 01:16
达州,垃圾骗垃圾骗钱的片,星星7910,1,0.5,2018-10-02 01:16
成都,真的很吊！类似故事叙述最成功的一次！,任健,0,5,2018-10-02 01:15
顺德,港产片好久没有好片啦，这个优秀啊！周润发太优秀了！郭富城普通话有很大的进步啊！,Cimua,2,5,2018-10-02 01:15
乌兰察布,这么久了今年来说值得看的一部电影，不啰嗦不拖泥带水，不狗血剧情，演员演技大赏，干净利索，从头到尾影院静悄悄的，没有让你畅怀大笑的剧情，只是让你安安静静的看完整部电影，给个赞，这也是我看电影评论字数最多的一次,SIC175582052,1,5,2018-10-02 01:14
东莞,灵灵灵，不愧是钞级大骗！,天黑路滑。332,1,5,2018-10-02 01:14
中山,发哥，才是亮点,蒲桺,1,5,2018-10-02 01:14
琼海,还不错还不错。,iNI896450228,1,4,2018-10-02 01:14
昆山,如果国庆不想看**一般的文艺片影和并没有什么可再搞笑的开心麻花，那就选十年磨一剑的无双吧，绝对开启港片新纪元！,zjw0715,0,5,2018-10-02 01:13
张家港,我在想，阮文最后还是那个阮文吗？,爱单宝,2,4,2018-10-02 01:13
肇庆,真的挺好看的，可以让观众跟着剧情去思考，代入感很强啊，全程无尿点,摸着胸口说胃疼,1,4.5,2018-10-02 01:13
福州,一般般，枪战场面不激烈。,KMi424203628,0,4,2018-10-02 01:13
长沙,讲述一个罪行累累的凶手满嘴谎言编造故事欺骗警察,执念2612,0,0.5,2018-10-02 01:13
十堰,还行吧…………感觉被张静初圈了,Vfu685420090,0,4,2018-10-02 01:13
黔西南,还不错，发哥还是那么帅气,zRe365093982,0,4.5,2018-10-02 01:12
杭州,好久不见到这样的发哥了，每年的贺岁片看得我对发哥要绝望了……终于重新找到小马哥的风采,找不到尾巴的狐狸,2,5,2018-10-02 01:12
成都,很不错，两大天王演技还是那么好,SPD251433273,0,5,2018-10-02 01:11
呼和浩特,出其不意，合情合理。这就是我的感觉，看着矛盾的两个词语，但其实就是这么真实的感受。绝对的好电影！,AYK15904719832,0,5,2018-10-02 01:11
东莞,很不错，给点个赞…………………,dYn662115650,0,5,2018-10-02 01:11
义乌,可以🙃🙃🙃🙃🙃🙃,Oju599925104,0,5,2018-10-02 01:11
玉林,剧情紧凑，演员演技在线，结局出乎意料也在情理之中。强力推荐！,JwE215968395,0,5,2018-10-02 01:11
重庆,超级好看，演技很棒，剧情丝丝入扣，大反转很爽。,裴裴0616,2,5,2018-10-02 01:10
莆田,影片一般，不过还好，值得一,海浪31785,2,3.5,2018-10-02 01:10
东莞," 超棒！画家就是李文的内心。同样展现了对阮
文的追求变为代替。",ZvP566586662,0,5,2018-10-02 01:10
广州,"帅到爆炸的发哥
剧情也是跌岩起伏
真的很棒棒的电影
",Tvy877836795,2,5,2018-10-02 01:09
广州,结尾让我起鸡皮疙瘩 真的是太完美的结局 每个人的演技都在线 简直不能太棒！！！！！,_sina64649493935,0,5,2018-10-02 01:09
成都,牛逼啊！！！！,同林599,1,5,2018-10-02 01:09
