城市,评论,昵称,性别,评分,观影时间
上海,123宁你一自信,怪兽怪怪怪,2,5,2018-10-01 10:58
南通,结尾实际上再打磨下更好,lionmouse,0,3.5,2018-10-01 10:58
西安,"差点变成了一个人看的电影。
感觉郭富城和霍建华好像啊，剧情反转的让我脑回路不太能跟的上，也懒得去知乎搜影评之类的了，真是疲惫的国庆",岁月是你,0,4,2018-10-01 10:58
深圳,发哥，就是经典！,莫失莫忘9715,1,5,2018-10-01 10:57
西安,故事情节，人物转换，连我都信了,mqakihh42u,1,5,2018-10-01 10:56
西安,"观影后感想：昨天晚上去看了影片《无双》，是我近期看过的完成度相当高的一部商业片。
影片涉及“伪钞”题材，讲了一个关于造假的犯罪故事。
在电影中人物各司其职，一步步攻克难关，带领观众见识如何把一张白纸变成一张美元，这个过程是相当刺激的。
此处略去100字......我不能在剧透了。
反正就一句话《无双》这部电影我强烈推荐给大家。",bRa560129053,1,4,2018-10-01 10:55
泰州,超级好看的，是发哥的又一经典之作,留下执着,1,5,2018-10-01 10:55
深圳,好看，拍的不错哦⊙∀⊙！,Dob13689527171,1,4.5,2018-10-01 10:55
南宁,冲着杨宗纬唱的主题曲去的，电影看完才知道原来唱的是推广曲。八分是给发哥的，不喜欢郭富城。,在呢这儿呀,2,4,2018-10-01 10:54
广州,剧情精彩，发哥和郭富城的演技大赞👍,nVn725835492,0,5,2018-10-01 10:54
惠州,只能说一般般，不是有发哥也不会去看,EcE354390797,0,3.5,2018-10-01 10:54
洛阳,好看好看好看,tin炸飞,0,5,2018-10-01 10:53
大连,这个电影非常好 看的很悬疑,小小喃2580,0,4.5,2018-10-01 10:52
莆田,还算不错吧。,naz193773801,0,4,2018-10-01 10:52
东莞,＃很棒，发哥的演技十分棒＃,苏小凉o一,1,5,2018-10-01 10:52
本溪,节奏慢，就是个剧情片,推荐会员名1,2,3,2018-10-01 10:51
深圳,就一个字，值！,dZn376768093,1,5,2018-10-01 10:51
武汉,我记得有一部电影，也是讲假钞的，印伪钞最难的并不是变色油墨，而是纸！因为一刀的钞票和五刀的纸是一样的尺寸，所以伪钞集体都是把一刀的钞票加化工材料洗掉印上五刀的图案，小额钞票不会过于被重点关注检查，很难发现,epP494365164,0,4.5,2018-10-01 10:50
苏州,还不错呢，赞赞赞赞赞,爱哭鼻子的猫816,0,4.5,2018-10-01 10:46
咸阳,大赞，看的很懵，剧情贼美,QWAQ.,0,5,2018-10-01 10:46
上海,题材很新颖 发哥必须的,fZd970740230,1,5,2018-10-01 10:45
三亚,发哥的演技如火纯金,fdN13876660221,1,5,2018-10-01 10:44
深圳,还没看，打算今晚去看。有发哥的电影先给个10分再说。,vns650144560,0,5,2018-10-01 10:44
常州,发哥，超帅，剧情灰常好看,被遗忘的一片繁华,2,5,2018-10-01 10:43
嘉善,钞票多多嘻嘻,wND822838020,0,5,2018-10-01 10:43
上海,看不懂(=_=),Ome635,1,3.5,2018-10-01 10:43
北京,幸亏有影帝的演技，主要是开头不好，铺叙太长，开头不好。主题也不是很明显。给8分，全是给影帝，演技太高了,非著名专家412,2,4,2018-10-01 10:42
北京,影帝就是影帝，不虚此行。建议看激光幕。,绿叶心雨,1,5,2018-10-01 10:42
永康,反转还是很精彩的，前面的大BOSS居然变成路人甲。。一切都是主角的算计，非常好看,knerd123,1,4.5,2018-10-01 10:41
巴中,港版看不见的客人,草木妖,0,4.5,2018-10-01 10:41
常熟,剧情大逆转，大开脑洞。,尚虞,0,4,2018-10-01 10:41
三亚,特别好看你发哥永远是你发哥～郭富城演技也棒棒的,李微就是我,0,5,2018-10-01 10:39
天津,发哥和郭天王演的非常棒，女主也挺漂亮，整个剧情有些绕，到最后才看明白,JcP126820995,0,4,2018-10-01 10:38
新郑,感觉《无双》真的是那种你猜得到开头猜不到结尾的电影！佩服编剧的脑洞，每一个情节都让你意想不到！喜欢发哥跟郭富城的组合！,Yzqzqzq997,0,5,2018-10-01 10:37
上海,小马哥风采，还是很帅气,eQK814096688,0,5,2018-10-01 10:37
海口,无话可说！！！,R31162956,1,5,2018-10-01 10:37
大石桥,有个小姐姐勾引我  全程没在看电影🙃 不知道演的啥,Cxg884706593,0,3,2018-10-01 10:36
昆明,不错，值得一看,staixue,1,5,2018-10-01 10:35
上海,周润发天生自带的气质非常适合演那种亦正亦邪的江湖大哥，前一秒温文懦雅，下一秒心狠手辣被发哥演得出神入化，所以他在（无双）里是绝对男主角。这部片子剧情很精彩结局很多反转，但我觉得最后的反转有点多余，如果结局就以发哥单枪匹马在警局和警察展开最后厮杀其实一定也很精彩！值得推荐！,xinxin3210,0,4,2018-10-01 10:35
常州,剧情不错，不过结局有点突兀,cz680624,0,5,2018-10-01 10:33
武汉,剧情不错！！,zmcjjj,0,5,2018-10-01 10:32
上虞,不错就是有点悬,minjiangjun,0,5,2018-10-01 10:32
邢台,完全没有想到的反转，紧凑的剧情，炸裂的演技，成就了一部完美的作品,记yi翻页,1,4.5,2018-10-01 10:31
诸暨,重头开始 就在讲姑事,go1717,0,4,2018-10-01 10:31
北京,反转的不错！,LAU2233,1,4,2018-10-01 10:30
河源,奔着发哥去的，没想到电影那么难看，差点睡着了😰,Jut552920025,2,2,2018-10-01 10:29
北京,演技在线，节奏有点快啊，有两个地方一直没有看懂还在想呢,Dtp117614146,0,5,2018-10-01 10:27
常州,发哥果然是最棒的！,VmN13775117227,2,5,2018-10-01 10:27
深圳,发哥演绎精彩 跟当年一样的潇洒自如,周刚790823,1,5,2018-10-01 10:27
青岛,剧情很好，难得的港片,Ann3744,2,5,2018-10-01 10:27
荆州,完美！发哥在电影前期蛮搞笑。不剧透放假了朋友们去看吧,gang71643,0,5,2018-10-01 10:24
乌鲁木齐,电影有诚意，结尾差点意思,Hyperion838,1,4,2018-10-01 10:22
岳阳,构思超好，翻天覆地的结尾，导致这部影片更加悬疑精彩！,Qaz688891897,1,5,2018-10-01 10:22
博兴,郭的电影很经典,spw716507767,1,5,2018-10-01 10:21
芜湖,把我看睡着了 不是我想睡 是电影太无聊 浪费演员,纪甄520,0,0.5,2018-10-01 10:21
石狮,良心作品。良心制作。剧情迂回。值得用心欣赏,qiv166408344,0,5,2018-10-01 10:20
成都,好难看，看一半就走了,_qq5861398225363,0,2,2018-10-01 10:19
台山,我是来看赌神的,天天61634,1,5,2018-10-01 10:18
成都,还不错👍 后面有点不懂,sherry544654126,2,4,2018-10-01 10:17
襄阳,看到结尾才觉得，麻鸭我也被骗了！,小份儿娃娃,0,5,2018-10-01 10:16
株洲,还行吧！！！！！！！！！！！！！！！！！,乔乔娜,1,4,2018-10-01 10:15
柳州,剧本不错！影片不错。一众实力老戏骨。我只想说发哥真的TM太帅了！无论人和演技都帅爆了！郭富城俨然变成了女一。这个化学反应我喜欢😊,rrr728538498,2,4.5,2018-10-01 10:14
